day,tick,ocupacion,staff_disponible,incidentes_mantenimiento,sobreventa_flag,ADR,cancelaciones,nivel_estres_staff,T,K,R,IT
0,0,0.6748357076505617,0.8930867849414408,0,0,108.8811988195308,1,0.10691321505855922,0.44766671061376073,0.7817489227091209,0.9679260354824323,1.0
0,1,0.6659451092344691,0.9139520646100069,0,0,130.10515284806527,0,0.08604793538999311,0.43398623969667877,0.7519930446244623,0.9741856193830021,1.0
0,2,0.6209560932988243,0.8737415096410927,0,0,122.41962271566034,1,0.12625849035890735,0.4230770521228575,0.7472145836577316,0.9621224528923278,1.0
0,3,0.5543359877671101,0.8493584439832789,0,0,123.14247332595274,2,0.15064155601672113,0.3928582150669545,0.7049775437838313,0.9548075331949837,1.0
0,4,0.6533764102343962,0.8287625906893272,0,0,121.2221916522268,1,0.17123740931067277,0.4605208098649068,0.824613819545069,0.9486287772067982,1.0
0,5,0.6242282168953773,0.8699873074947044,0,0,129.47439821046638,2,0.13001269250529557,0.42654200713934465,0.7542409094006729,0.9609961922484114,1.0
0,6,0.6233175598078757,0.8997236068839937,1,0,107.34880886077357,2,0.20027639311600634,0.45410109313112795,0.7235939529238821,0.8399170820651981,1.0
0,7,0.7045996132178836,0.9369233289997705,0,0,121.7136828118997,1,0.06307667100022951,0.4479904363308219,0.7676762842181131,0.9810769986999311,1.0
0,8,0.5995457328567446,0.8208352893231556,0,0,115.39361229040213,2,0.17916471067684436,0.43139332398478447,0.778710443533589,0.9462505867969467,1.0
0,9,0.7028561113109458,0.9291061397356519,0,0,128.87748459593357,1,0.07089386026434807,0.4500712108923067,0.7737499715752939,0.9787318419206956,1.0
0,10,0.608039123838868,0.8845393812074392,1,0,115.2082576215471,1,0.21546061879256076,0.4510077218203451,0.7234997426314288,0.8353618143622318,1.0
0,11,0.6407170511668092,0.94062629111971,1,0,133.56240028570824,0,0.15937370888029004,0.44817971425220154,0.7000907600470992,0.852187887335913,1.0
0,12,0.6986481766877894,0.9397797731947971,0,0,119.64173960890048,2,0.06022022680520289,0.44327699673475485,0.7588684034929923,0.9819339319584391,1.0
0,13,0.7282321827907003,0.8290624770704299,0,0,130.4249161733942,2,0.1709375229295701,0.5053143188462482,0.8991697057202704,0.948718743121129,1.0
0,14,0.610537083565104,0.9371855641885614,0,0,111.91506397106812,5,0.06281443581143864,0.3914480244636379,0.6733515193765427,0.9811556692565684,1.0
0,15,0.6249121478207732,0.9048538774674021,0,0,129.68644990532889,2,0.09514612253259791,0.4130057377055031,0.7200582703533711,0.9714561632402207,1.0
0,16,0.6303945923433921,0.8268242525933941,0,0,93.4482395243653,1,0.1731757474066059,0.4475070543686776,0.803570339749998,0.9480472757780183,1.0
0,17,0.6672758971944384,0.9226468163266754,0,0,118.33939091648935,2,0.07735318367332455,0.43130681178599284,0.7446290808677629,0.9767940448980026,1.0
0,18,0.649072459774418,0.8163247689004889,0,0,120.60230209941027,0,0.18367523109951112,0.46291356830445524,0.8327476908739291,0.9448974306701466,1.0
0,19,0.7731621056242644,0.9238877049716764,0,0,117.4097135526111,1,0.07611229502832362,0.49434218138588804,0.849274400652588,0.9771663114915029,1.0
0,20,0.7071411407257511,0.9375966516343387,0,0,111.98172156650307,3,0.062403348365661304,0.4492460237817152,0.7695444890914124,0.9812789954903016,1.0
0,21,0.719200785946634,0.8753283758898337,0,0,129.23162608341954,0,0.1246716241101663,0.48138912121204686,0.8438724100568002,0.9625985127669501,1.0
0,22,0.7353302476839232,0.943679470781769,0,0,104.49336568933867,1,0.05632052921823105,0.4637263602976463,0.7916507769021542,0.9831038412345307,1.0
0,23,0.6534281487403014,0.8540287882883099,1,0,135.4993440501754,1,0.24597121171169015,0.4904453739288569,0.7993993604519916,0.8262086364864929,1.0
0,24,0.6906758608684835,0.8384567841783023,0,0,133.63886524417106,1,0.16154321582169773,0.47902280284976917,0.8522190766901813,0.9515370352534906,1.0
0,25,0.7769581358134666,0.8279979276158101,0,0,131.9072725611364,5,0.17200207238418985,0.5349757104417558,0.9489602081976565,0.9483993782847431,1.0
